candidate_domain,candidate_skills,candidate_years_experience,candidate_education,cv_text,job_domain,job_skills,job_years_required,job_description,relevance_score
Data Science / Intelligence Artificielle,Feature Engineering;Airflow;Statistiques;Deep Learning;R,5,Bac+5 (Master / Ingénieur),"Amine, Bac+5 (Master / Ingénieur), 5 ans d'expérience dans le domaine Data Science / Intelligence Artificielle. A travaillé pendant 5 ans sur des projets liés à Data Science / Intelligence Artificielle, en mettant en œuvre Feature Engineering, Airflow, Statistiques, Deep Learning, R. Qualités personnelles : rigueur, curiosité, résolution de problèmes.",Data Science / Intelligence Artificielle,Pandas;A/B Testing;MLOps;Data Warehousing;Statistiques;Hadoop;NumPy;Data Visualization,5,"Poste ouvert dans le domaine Data Science / Intelligence Artificielle, 5 ans d'expérience minimum requis. Compétences requises : Pandas, A/B Testing, MLOps, Data Warehousing, Statistiques, Hadoop, NumPy, Data Visualization. Le candidat idéal maîtrise ces technologies et outils dans un contexte Data Science / Intelligence Artificielle.",62.12
Développement Logiciel,Angular;Spring;GraphQL;Python;REST API;SASS;PostgreSQL;Vue.js;Spring Boot,4,Doctorat (PhD),"Wael, Doctorat (PhD), 4 ans d'expérience dans le domaine Développement Logiciel. Expérience professionnelle de 4 ans incluant l'utilisation de Angular, Spring, GraphQL, Python, REST API, SASS, PostgreSQL, Vue.js, Spring Boot dans des projets Développement Logiciel. Qualités personnelles : communication, résolution de problèmes, adaptabilité.",Finance / Comptabilité,Excel avancé;Consolidation;Analyse financière;Comptabilité générale;Reporting financier;Gestion des risques financiers;SAP;Power BI,1,"Nous recherchons un profil Finance / Comptabilité justifiant d'au moins 1 ans d'expérience. Compétences requises : Excel avancé, Consolidation, Analyse financière, Comptabilité générale, Reporting financier, Gestion des risques financiers, SAP, Power BI. Le candidat idéal maîtrise ces technologies et outils dans un contexte Finance / Comptabilité.",52.86
Finance / Comptabilité,Fiscalité;Excel avancé;Reporting financier;SAP;Power BI;Analyse financière;Contrôle de gestion;Modélisation financière;Trésorerie,3,Doctorat (PhD),"Salma - Doctorat (PhD) - 3 années d'expérience professionnelle en Finance / Comptabilité. Compétences techniques maîtrisées : Fiscalité, Excel avancé, Reporting financier, SAP, Power BI, Analyse financière, Contrôle de gestion, Modélisation financière, Trésorerie. Domaine principal : Finance / Comptabilité. Qualités personnelles : curiosité, résolution de problèmes, rigueur.",Finance / Comptabilité,Power BI;Gestion des risques financiers;Comptabilité générale;Excel avancé;Modélisation financière;Fiscalité;Budgétisation;SAP;Reporting financier;Analyse financière,5,"Offre d'emploi : spécialiste Finance / Comptabilité, expérience minimale de 5 ans. Compétences requises : Power BI, Gestion des risques financiers, Comptabilité générale, Excel avancé, Modélisation financière, Fiscalité, Budgétisation, SAP, Reporting financier, Analyse financière. Le candidat idéal maîtrise ces technologies et outils dans un contexte Finance / Comptabilité.",60.71
Marketing Digital,Réseaux sociaux;Facebook Ads;Google Ads;Google Analytics;Growth Hacking;CRM;HubSpot;Stratégie digitale;Email Marketing;Marketing Automation;Branding,0,Doctorat (PhD),"Profil Marketing Digital avec 0 ans d'expérience. Diplôme : Doctorat (PhD). Compétences techniques maîtrisées : Réseaux sociaux, Facebook Ads, Google Ads, Google Analytics, Growth Hacking, CRM, HubSpot, Stratégie digitale, Email Marketing, Marketing Automation, Branding. Domaine principal : Marketing Digital. Qualités personnelles : sens de l'organisation, communication, esprit d'équipe.",DevOps / Cloud,Terraform;Prometheus;Cloud Security;GCP;Monitoring;Helm;Grafana;GitLab CI;Kubernetes,5,"Nous recherchons un profil DevOps / Cloud justifiant d'au moins 5 ans d'expérience. Compétences requises : Terraform, Prometheus, Cloud Security, GCP, Monitoring, Helm, Grafana, GitLab CI, Kubernetes. Le candidat idéal maîtrise ces technologies et outils dans un contexte DevOps / Cloud.",7.56
Data Science / Intelligence Artificielle,Hadoop;scikit-learn;Data Visualization;Python;NLP;Tableau;Data Warehousing;MLOps,5,Bac+5 (Master / Ingénieur),"Farah - Bac+5 (Master / Ingénieur) - 5 années d'expérience professionnelle en Data Science / Intelligence Artificielle. Compétences techniques maîtrisées : Hadoop, scikit-learn, Data Visualization, Python, NLP, Tableau, Data Warehousing, MLOps. Domaine principal : Data Science / Intelligence Artificielle. Qualités personnelles : résolution de problèmes, créativité, rigueur.",Data Science / Intelligence Artificielle,scikit-learn;Statistiques;Tableau;Python;Keras;SQL;Power BI;A/B Testing;TensorFlow;Big Data,2,"Nous recherchons un profil Data Science / Intelligence Artificielle justifiant d'au moins 2 ans d'expérience. Compétences requises : scikit-learn, Statistiques, Tableau, Python, Keras, SQL, Power BI, A/B Testing, TensorFlow, Big Data. Le candidat idéal maîtrise ces technologies et outils dans un contexte Data Science / Intelligence Artificielle.",62.93
Développement Logiciel,Vue.js;Kafka;Express;Git;SASS,8,Bac+2 (BTS/DUT),"Profil Développement Logiciel avec 8 ans d'expérience. Diplôme : Bac+2 (BTS/DUT). Compétences techniques maîtrisées : Vue.js, Kafka, Express, Git, SASS. Domaine principal : Développement Logiciel. Qualités personnelles : adaptabilité, leadership, gestion du stress.",Développement Logiciel,Design Patterns;Python;React;SOLID;Spring;Express;Java;MySQL,5,"Nous recherchons un profil Développement Logiciel justifiant d'au moins 5 ans d'expérience. Compétences requises : Design Patterns, Python, React, SOLID, Spring, Express, Java, MySQL. Le candidat idéal maîtrise ces technologies et outils dans un contexte Développement Logiciel.",61.97
Gestion de Projet,Agile;Scrum;Confluence;PRINCE2;MS Project;PMP;Jira,9,Bac+2 (BTS/DUT),"Profil Gestion de Projet avec 9 ans d'expérience. Diplôme : Bac+2 (BTS/DUT). Compétences techniques maîtrisées : Agile, Scrum, Confluence, PRINCE2, MS Project, PMP, Jira. Domaine principal : Gestion de Projet. Qualités personnelles : autonomie, créativité, esprit critique.",Gestion de Projet,Planification;Reporting projet;Gestion des risques;PMP;Agile;Budget projet;Roadmap produit;Kanban;Product Owner;Confluence,3,"Offre d'emploi : spécialiste Gestion de Projet, expérience minimale de 3 ans. Compétences requises : Planification, Reporting projet, Gestion des risques, PMP, Agile, Budget projet, Roadmap produit, Kanban, Product Owner, Confluence. Le candidat idéal maîtrise ces technologies et outils dans un contexte Gestion de Projet.",68.69
Développement Logiciel,Kubernetes;GraphQL;Design Patterns;Vue.js;SASS,9,Bac+2 (BTS/DUT),"Candidat motivé, 9 ans d'expérience en Développement Logiciel, Bac+2 (BTS/DUT). A travaillé pendant 9 ans sur des projets liés à Développement Logiciel, en mettant en œuvre Kubernetes, GraphQL, Design Patterns, Vue.js, SASS. Qualités personnelles : communication, sens de l'organisation, résolution de problèmes.",Développement Logiciel,Java;Spring;SOLID;Gradle;SASS;React;TypeScript;Microservices;Kubernetes,3,"Nous recherchons un profil Développement Logiciel justifiant d'au moins 3 ans d'expérience. Compétences requises : Java, Spring, SOLID, Gradle, SASS, React, TypeScript, Microservices, Kubernetes. Le candidat idéal maîtrise ces technologies et outils dans un contexte Développement Logiciel.",63.95
Finance / Comptabilité,Gestion des risques financiers;Power BI;Modélisation financière;IFRS;SAP;Budgétisation;Audit financier;Consolidation,0,Bac+3 (Licence),"Yassine - Bac+3 (Licence) - 0 années d'expérience professionnelle en Finance / Comptabilité. A travaillé pendant 0 ans sur des projets liés à Finance / Comptabilité, en mettant en œuvre Gestion des risques financiers, Power BI, Modélisation financière, IFRS, SAP, Budgétisation, Audit financier, Consolidation. Qualités personnelles : esprit d'équipe, créativité, résolution de problèmes.",Finance / Comptabilité,Comptabilité générale;Gestion des risques financiers;Trésorerie;IFRS;Audit financier;Reporting financier,1,"Nous recherchons un profil Finance / Comptabilité justifiant d'au moins 1 ans d'expérience. Compétences requises : Comptabilité générale, Gestion des risques financiers, Trésorerie, IFRS, Audit financier, Reporting financier. Le candidat idéal maîtrise ces technologies et outils dans un contexte Finance / Comptabilité.",32.68
Réseaux / Systèmes,DNS;Linux;Supervision réseau;TCP/IP;Switching;Cisco;Windows Server,6,Bac+3 (Licence),"Candidat motivé, 6 ans d'expérience en Réseaux / Systèmes, Bac+3 (Licence). Compétences techniques maîtrisées : DNS, Linux, Supervision réseau, TCP/IP, Switching, Cisco, Windows Server. Domaine principal : Réseaux / Systèmes. Qualités personnelles : créativité, curiosité, résolution de problèmes.",Réseaux / Systèmes,TCP/IP;Cisco;Routage;Virtualisation;PowerShell;VMware,3,"Nous recherchons un profil Réseaux / Systèmes justifiant d'au moins 3 ans d'expérience. Compétences requises : TCP/IP, Cisco, Routage, Virtualisation, PowerShell, VMware. Le candidat idéal maîtrise ces technologies et outils dans un contexte Réseaux / Systèmes.",69.9
